Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
1960-03-23,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1,1,1,12,#
1960-03-30,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1,1,1,13,#
1960-04-06,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1,1,1,14,#
1960-04-13,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1,1,1,15,#
1960-04-20,Stuck On You,Elvis Presley With The Jordanaires,1,6,1,4,https://charts-static.billboard.com/img/1960/04/elvis-presley-nq7-180x180.jpg
1960-04-27,Stuck On You,Elvis Presley With The Jordanaires,1,1,1,5,https://charts-static.billboard.com/img/1960/04/elvis-presley-nq7-180x180.jpg
1960-05-04,Stuck On You,Elvis Presley With The Jordanaires,1,1,1,6,https://charts-static.billboard.com/img/1960/04/elvis-presley-nq7-180x180.jpg
1960-05-11,Stuck On You,Elvis Presley With The Jordanaires,1,1,1,7,https://charts-static.billboard.com/img/1960/04/elvis-presley-nq7-180x180.jpg
1960-05-18,Cathy's Clown,The Everly Brothers,1,2,1,6,https://charts-static.billboard.com/img/1960/04/the-everly-brothers-ak0-180x180.jpg
1960-05-25,Cathy's Clown,The Everly Brothers,1,1,1,7,https://charts-static.billboard.com/img/1960/04/the-everly-brothers-ak0-180x180.jpg
1960-06-01,Cathy's Clown,The Everly Brothers,1,1,1,8,https://charts-static.billboard.com/img/1960/04/the-everly-brothers-ak0-180x180.jpg
1960-06-08,Cathy's Clown,The Everly Brothers,1,1,1,9,https://charts-static.billboard.com/img/1960/04/the-everly-brothers-ak0-180x180.jpg
1960-06-15,Cathy's Clown,The Everly Brothers,1,1,1,10,https://charts-static.billboard.com/img/1960/04/the-everly-brothers-ak0-180x180.jpg
1960-06-22,Everybody's Somebody's Fool,Connie Francis,1,2,1,8,https://charts-static.billboard.com/img/1960/05/connie-francis-411-180x180.jpg
1960-06-29,Everybody's Somebody's Fool,Connie Francis,1,1,1,9,https://charts-static.billboard.com/img/1960/05/connie-francis-411-180x180.jpg
1960-07-06,Alley-Oop,Hollywood Argyles,1,2,1,7,#
1960-07-13,I'm Sorry,Brenda Lee,1,2,1,8,https://charts-static.billboard.com/img/1960/05/brenda-lee-liu-180x180.jpg
1960-07-20,I'm Sorry,Brenda Lee,1,1,1,9,https://charts-static.billboard.com/img/1960/05/brenda-lee-liu-180x180.jpg
1960-07-27,I'm Sorry,Brenda Lee,1,1,1,10,https://charts-static.billboard.com/img/1960/05/brenda-lee-liu-180x180.jpg
1960-08-03,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,1,2,1,6,https://charts-static.billboard.com/img/1960/07/brian-hyland-p1l-180x180.jpg
1960-08-10,It's Now Or Never,Elvis Presley With The Jordanaires,1,3,1,5,https://charts-static.billboard.com/img/1958/08/elvis-presley-yoq.jpg
1960-08-17,It's Now Or Never,Elvis Presley With The Jordanaires,1,1,1,6,https://charts-static.billboard.com/img/1958/08/elvis-presley-yoq.jpg
1960-08-24,It's Now Or Never,Elvis Presley With The Jordanaires,1,1,1,7,https://charts-static.billboard.com/img/1958/08/elvis-presley-yoq.jpg
1960-08-31,It's Now Or Never,Elvis Presley With The Jordanaires,1,1,1,8,https://charts-static.billboard.com/img/1958/08/elvis-presley-yoq.jpg
1960-09-07,It's Now Or Never,Elvis Presley With The Jordanaires,1,1,1,9,https://charts-static.billboard.com/img/1958/08/elvis-presley-yoq.jpg
1960-09-14,The Twist,Chubby Checker,1,2,1,8,https://charts-static.billboard.com/img/1960/08/chubby-checker-oxy-180x180.jpg
1960-09-21,My Heart Has A Mind Of Its Own,Connie Francis,1,2,1,7,https://charts-static.billboard.com/img/1960/08/connie-francis-411-180x180.jpg
1960-09-28,My Heart Has A Mind Of Its Own,Connie Francis,1,1,1,8,https://charts-static.billboard.com/img/1960/08/connie-francis-411-180x180.jpg
