uri,danceability,energy,key,key,loudness,loudness,mode,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,time_signature,num_samples,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,loudness,tempo,tempo,tempo_confidence,time_signature,time_signature,time_signature_confidence,key,key,key_confidence,mode,mode,mode_confidence
spotify:track:6bnFjTW3EnMG4BwreDnSHK,0.374,0.0889,4,4,-17.475,-17.475,1,1,0.0356,0.931,6.879999999999999e-06,0.111,0.211,96.677,96.677,audio_features,6bnFjTW3EnMG4BwreDnSHK,https://api.spotify.com/v1/tracks/6bnFjTW3EnMG4BwreDnSHK,https://api.spotify.com/v1/audio-analysis/6bnFjTW3EnMG4BwreDnSHK,145133,4,4,3200190,145.13333,22050,1,0.40068,137.97878,-17.475,-17.475,96.677,96.677,0.29,4,4,0.917,4,4,0.74,1,1,0.609
spotify:track:0mmveflIg5uKskiCOdRV3e,0.584,0.589,5,5,-11.203,-11.203,1,1,0.0718,0.463,1.5300000000000003e-05,0.069,0.842,172.484,172.484,audio_features,0mmveflIg5uKskiCOdRV3e,https://api.spotify.com/v1/tracks/0mmveflIg5uKskiCOdRV3e,https://api.spotify.com/v1/audio-analysis/0mmveflIg5uKskiCOdRV3e,154296,4,4,3402226,154.29596,22050,1,0.24372,146.49469,-11.203,-11.203,172.484,172.484,0.631,4,4,1.0,5,5,0.941,1,1,0.718
spotify:track:3PNLqKBbWaTBGt9Y1lM1eB,0.40800000000000003,0.213,5,5,-14.843,-14.843,1,1,0.029500000000000002,0.869,0.0,0.101,0.643,94.608,94.608,audio_features,3PNLqKBbWaTBGt9Y1lM1eB,https://api.spotify.com/v1/tracks/3PNLqKBbWaTBGt9Y1lM1eB,https://api.spotify.com/v1/audio-analysis/3PNLqKBbWaTBGt9Y1lM1eB,157718,4,4,3477689,157.71832,22050,1,0.07714,149.08952,-14.843,-14.843,94.608,94.608,0.537,4,4,0.944,5,5,1.0,1,1,0.901
spotify:track:4f8hBeMXMvssn6HtFAtblo,0.654,0.452,2,2,-9.709,-9.709,1,1,0.03,0.835,2.8900000000000005e-05,0.16,0.6910000000000001,106.662,106.662,audio_features,4f8hBeMXMvssn6HtFAtblo,https://api.spotify.com/v1/tracks/4f8hBeMXMvssn6HtFAtblo,https://api.spotify.com/v1/audio-analysis/4f8hBeMXMvssn6HtFAtblo,259307,3,3,5717712,259.30667,22050,1,0.13347,254.0263,-9.709,-9.709,106.662,106.662,0.567,3,3,0.599,2,2,0.817,1,1,0.744
spotify:track:1mE8QtaSFxEQnr3SgxmIRf,0.76,0.468,5,5,-8.957,-8.957,0,0,0.0482,0.775,2.36e-05,0.184,0.745,119.986,119.986,audio_features,1mE8QtaSFxEQnr3SgxmIRf,https://api.spotify.com/v1/tracks/1mE8QtaSFxEQnr3SgxmIRf,https://api.spotify.com/v1/audio-analysis/1mE8QtaSFxEQnr3SgxmIRf,157960,4,4,3483018,157.96,22050,1,1.10263,151.91655,-8.957,-8.957,119.986,119.986,0.632,4,4,1.0,5,5,0.843,0,0,0.642
spotify:track:7aNVTsJFlnaUTEBO6fvWho,0.506,0.095,0,0,-13.232,-13.232,1,1,0.0494,0.728,0.0,0.293,0.404,97.26,97.26,audio_features,7aNVTsJFlnaUTEBO6fvWho,https://api.spotify.com/v1/tracks/7aNVTsJFlnaUTEBO6fvWho,https://api.spotify.com/v1/audio-analysis/7aNVTsJFlnaUTEBO6fvWho,161827,4,4,3568278,161.82668,22050,1,0.31293,151.19673,-13.232,-13.232,97.26,97.26,0.376,4,4,0.673,0,0,0.96,1,1,0.768
spotify:track:6zwvB879PJSpTyFcg2wwnL,0.326,0.326,0,0,-15.144,-15.144,1,1,0.0297,0.591,0.918,0.494,0.87,186.232,186.232,audio_features,6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/tracks/6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/audio-analysis/6zwvB879PJSpTyFcg2wwnL,142693,3,3,3146388,142.69333,22050,1,0.19642,133.28255,-15.144,-15.144,186.232,186.232,0.695,3,3,1.0,0,0,0.27,1,1,0.486
spotify:track:7bA1DHtoJAvqyL42gHwOLa,0.649,0.678,7,7,-7.389,-7.389,1,1,0.0463,0.775,0.000634,0.129,0.96,131.719,131.719,audio_features,7bA1DHtoJAvqyL42gHwOLa,https://api.spotify.com/v1/tracks/7bA1DHtoJAvqyL42gHwOLa,https://api.spotify.com/v1/audio-analysis/7bA1DHtoJAvqyL42gHwOLa,138827,4,4,3061128,138.82668,22050,1,0.19152,132.45242,-7.389,-7.389,131.719,131.719,0.77,4,4,0.031,7,7,0.63,1,1,0.575
spotify:track:27bw4i8LnECzVlbMZ4kFHw,0.507,0.561,7,7,-10.472,-10.472,1,1,0.035300000000000005,0.548,0.0,0.59,0.89,120.042,120.042,audio_features,27bw4i8LnECzVlbMZ4kFHw,https://api.spotify.com/v1/tracks/27bw4i8LnECzVlbMZ4kFHw,https://api.spotify.com/v1/audio-analysis/27bw4i8LnECzVlbMZ4kFHw,145933,4,4,3217830,145.93333,22050,1,0.3751,140.08598,-10.472,-10.472,120.042,120.042,0.64,4,4,1.0,7,7,0.619,1,1,0.673
spotify:track:1qC8zQRrdkZCwzQ5N4ECoD,0.584,0.737,1,1,-4.643,-4.643,1,1,0.030600000000000002,0.745,1.93e-05,0.20800000000000002,0.753,84.322,84.322,audio_features,1qC8zQRrdkZCwzQ5N4ECoD,https://api.spotify.com/v1/tracks/1qC8zQRrdkZCwzQ5N4ECoD,https://api.spotify.com/v1/audio-analysis/1qC8zQRrdkZCwzQ5N4ECoD,157880,4,4,3481254,157.88,22050,1,0.42327,151.78883,-4.643,-4.643,84.322,84.322,0.0,4,4,1.0,1,1,0.711,1,1,0.594
spotify:track:2bgl6miORpyE4ql0gl7KHR,0.584,0.47600000000000003,7,7,-9.562,-9.562,1,1,0.0614,0.809,0.0,0.0915,0.9440000000000001,63.325,63.325,audio_features,2bgl6miORpyE4ql0gl7KHR,https://api.spotify.com/v1/tracks/2bgl6miORpyE4ql0gl7KHR,https://api.spotify.com/v1/audio-analysis/2bgl6miORpyE4ql0gl7KHR,161440,4,4,3559752,161.44,22050,1,0.31243,157.95955,-9.562,-9.562,63.325,63.325,0.054,4,4,0.937,7,7,0.647,1,1,0.403
