Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Track URI
1973-01-24,Superstition,Stevie Wonder,1,2,1,11,https://charts-static.billboard.com/img/1972/11/stevie-wonder-12f-180x180.jpg,spotify:track:1h2xVEoJORqrg71HocgqXd
1973-01-31,Crocodile Rock,Elton John,1,3,1,9,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,spotify:track:6WCeFNVAXUtNczb7lqLiZU
1973-02-07,Crocodile Rock,Elton John,1,1,1,10,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,spotify:track:6WCeFNVAXUtNczb7lqLiZU
1973-02-14,Crocodile Rock,Elton John,1,1,1,11,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,spotify:track:6WCeFNVAXUtNczb7lqLiZU
1973-02-21,Killing Me Softly With His Song,Roberta Flack,1,5,1,5,https://charts-static.billboard.com/img/1973/01/roberta-flack-9yg-killing-me-softly-with-his-song-spr-180x180.jpg,spotify:track:3gsCAGsWr6pUm1Vy7CPPob
1973-02-28,Killing Me Softly With His Song,Roberta Flack,1,1,1,6,https://charts-static.billboard.com/img/1973/01/roberta-flack-9yg-killing-me-softly-with-his-song-spr-180x180.jpg,spotify:track:3gsCAGsWr6pUm1Vy7CPPob
1973-03-07,Killing Me Softly With His Song,Roberta Flack,1,1,1,7,https://charts-static.billboard.com/img/1973/01/roberta-flack-9yg-killing-me-softly-with-his-song-spr-180x180.jpg,spotify:track:3gsCAGsWr6pUm1Vy7CPPob
1973-03-14,Killing Me Softly With His Song,Roberta Flack,1,1,1,8,https://charts-static.billboard.com/img/1973/01/roberta-flack-9yg-killing-me-softly-with-his-song-spr-180x180.jpg,spotify:track:3gsCAGsWr6pUm1Vy7CPPob
1973-03-21,Love Train,The O'Jays,1,3,1,10,https://charts-static.billboard.com/img/1973/01/the-ojays-vzm-180x180.jpg,spotify:track:28285KFbyCq8sJofn58qlD
1973-03-28,Killing Me Softly With His Song,Roberta Flack,1,2,1,10,https://charts-static.billboard.com/img/1973/01/roberta-flack-9yg-killing-me-softly-with-his-song-spr-180x180.jpg,spotify:track:3gsCAGsWr6pUm1Vy7CPPob
1973-04-04,The Night The Lights Went Out In Georgia,Vicki Lawrence,1,10,1,9,https://charts-static.billboard.com/img/1973/02/vicki-lawrence-sg4-180x180.jpg,spotify:track:4ZObql2ASJn1bvasBzjlyI
1973-04-11,The Night The Lights Went Out In Georgia,Vicki Lawrence,1,1,1,10,https://charts-static.billboard.com/img/1973/02/vicki-lawrence-sg4-180x180.jpg,spotify:track:4ZObql2ASJn1bvasBzjlyI
1973-04-18,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando,1,3,1,10,https://charts-static.billboard.com/img/1840/12/tony-orlando-dawn-37s-180x180.jpg,spotify:track:3NXES1knSS2eUCgkr77QU6
1973-04-25,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando,1,1,1,11,https://charts-static.billboard.com/img/1840/12/tony-orlando-dawn-37s-180x180.jpg,spotify:track:3NXES1knSS2eUCgkr77QU6
1973-05-02,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando,1,1,1,12,https://charts-static.billboard.com/img/1840/12/tony-orlando-dawn-37s-180x180.jpg,spotify:track:3NXES1knSS2eUCgkr77QU6
1973-05-09,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando,1,1,1,13,https://charts-static.billboard.com/img/1840/12/tony-orlando-dawn-37s-180x180.jpg,spotify:track:3NXES1knSS2eUCgkr77QU6
1973-05-16,You Are The Sunshine Of My Life,Stevie Wonder,1,2,1,10,https://charts-static.billboard.com/img/1973/03/stevie-wonder-12f-180x180.jpg,spotify:track:0n2pjCIMKwHSXoYfEbYMfX
1973-05-23,Frankenstein,Edgar Winter Group,1,4,1,12,https://charts-static.billboard.com/img/1973/03/edgar-winter-q28-180x180.jpg,spotify:track:2l0Z9fY1E8Bep8opmhmDhq
1973-05-30,My Love,Paul McCartney And Wings,1,2,1,8,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg,spotify:track:0Oj0TT23GBH2XuHAaSsloH
1973-06-06,My Love,Paul McCartney And Wings,1,1,1,9,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg,spotify:track:0Oj0TT23GBH2XuHAaSsloH
1973-06-13,My Love,Paul McCartney And Wings,1,1,1,10,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg,spotify:track:0Oj0TT23GBH2XuHAaSsloH
1973-06-20,My Love,Paul McCartney And Wings,1,1,1,11,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg,spotify:track:0Oj0TT23GBH2XuHAaSsloH
1973-06-27,Give Me Love - (Give Me Peace On Earth),George Harrison,1,5,1,7,https://charts-static.billboard.com/img/1973/05/george-harrison-rre-106x106.jpg,spotify:track:1ZiN3wseympSLDIFkaWHHC
1973-07-04,Will It Go Round In Circles,Billy Preston,1,3,1,15,https://charts-static.billboard.com/img/1973/03/billy-preston-9en-180x180.jpg,spotify:track:0iifjjuozo6r5fh2GWI6Pq
1973-07-11,Will It Go Round In Circles,Billy Preston,1,1,1,16,https://charts-static.billboard.com/img/1973/03/billy-preston-9en-180x180.jpg,spotify:track:0iifjjuozo6r5fh2GWI6Pq
1973-07-18,Bad; Bad Leroy Brown,Jim Croce,1,3,1,14,https://charts-static.billboard.com/img/1973/04/jim-croce-7dg-180x180.jpg,spotify:track:2r3XNMon9K7bl2KTtHsaQO
1973-07-25,Bad; Bad Leroy Brown,Jim Croce,1,1,1,15,https://charts-static.billboard.com/img/1973/04/jim-croce-7dg-180x180.jpg,spotify:track:2r3XNMon9K7bl2KTtHsaQO
1973-08-01,The Morning After,Maureen McGovern,1,9,1,7,https://charts-static.billboard.com/img/1973/06/maureen-mcgovern-qpj-180x180.jpg,spotify:track:62QRbVm7DqR3eoqgT7pEfs
1973-08-08,The Morning After,Maureen McGovern,1,1,1,8,https://charts-static.billboard.com/img/1973/06/maureen-mcgovern-qpj-180x180.jpg,spotify:track:62QRbVm7DqR3eoqgT7pEfs
1973-08-15,Touch Me In The Morning,Diana Ross,1,4,1,12,https://charts-static.billboard.com/img/1967/09/diana-ross-l90-180x180.jpg,spotify:track:4sIkDCqNjTubfb5UVs8lEA
1973-08-22,Brother Louie,Stories,1,3,1,10,https://charts-static.billboard.com/img/1973/06/stories-0d6-106x106.jpg,spotify:track:5kbSslE6zBMZnULSrE4SdZ
1973-08-29,Brother Louie,Stories,1,1,1,11,https://charts-static.billboard.com/img/1973/06/stories-0d6-106x106.jpg,spotify:track:5kbSslE6zBMZnULSrE4SdZ
1973-09-05,Let's Get It On,Marvin Gaye,1,2,1,9,https://charts-static.billboard.com/img/1973/07/marvin-gaye-jh5-letsgetiton-zz9-180x180.jpg,spotify:track:627teoJpK7qZOxRRY8TNnv
1973-09-12,Delta Dawn,Helen Reddy,1,3,1,13,https://charts-static.billboard.com/img/1973/06/helen-reddy-zdq-180x180.jpg,spotify:track:53RGKUb4zvhHaDCmjgUrIP
1973-09-19,Let's Get It On,Marvin Gaye,1,2,1,11,https://charts-static.billboard.com/img/1973/07/marvin-gaye-jh5-letsgetiton-zz9-180x180.jpg,spotify:track:627teoJpK7qZOxRRY8TNnv
1973-09-26,We're An American Band,Grand Funk,1,2,1,10,https://charts-static.billboard.com/img/1973/07/grand-funk-railroad-6id-106x106.jpg,spotify:track:3XcjIvaZVUFAIdIYZqY9bd
