Date,Song,Artist,Weeks in Charts,Track ID
1961-07-05,Tossin' And Turnin',Bobby Lewis,12,79s3pSe1u6ggQBEwVPm58Z
1961-07-12,Tossin' And Turnin',Bobby Lewis,13,79s3pSe1u6ggQBEwVPm58Z
1961-07-19,Tossin' And Turnin',Bobby Lewis,14,79s3pSe1u6ggQBEwVPm58Z
1961-07-26,Tossin' And Turnin',Bobby Lewis,15,79s3pSe1u6ggQBEwVPm58Z
1961-08-02,Tossin' And Turnin',Bobby Lewis,16,79s3pSe1u6ggQBEwVPm58Z
1961-08-09,Tossin' And Turnin',Bobby Lewis,17,79s3pSe1u6ggQBEwVPm58Z
1961-08-16,Tossin' And Turnin',Bobby Lewis,18,79s3pSe1u6ggQBEwVPm58Z
1961-08-23,Wooden Heart,Joe Dowell,10,2ELAMT68a78OGwhCgj9Kai
1961-08-30,Michael,The Highwaymen,9,25TcXSVruQ3Oox1RyqRCFf
1961-09-06,Michael,The Highwaymen,10,25TcXSVruQ3Oox1RyqRCFf
1961-09-13,Take Good Care Of My Baby,Bobby Vee,7,06JokgprGDKrtZ1eP6z2CQ
1961-09-20,Take Good Care Of My Baby,Bobby Vee,8,06JokgprGDKrtZ1eP6z2CQ
1961-09-27,Take Good Care Of My Baby,Bobby Vee,9,06JokgprGDKrtZ1eP6z2CQ
1961-10-04,Hit The Road Jack,Ray Charles And His Orchestra With The Raelettes,5,5dUMh0ugelpKfoFp3qChuK
1961-10-11,Hit The Road Jack,Ray Charles And His Orchestra With The Raelettes,6,5dUMh0ugelpKfoFp3qChuK
1961-10-18,Runaround Sue,Dion,5,1DndHckdH9m5rp6gYP086b
1961-10-25,Runaround Sue,Dion,6,1DndHckdH9m5rp6gYP086b
1961-11-01,Big Bad John,Jimmy Dean,6,61uAY9xdzYiIbYJ07XvKso
1961-11-08,Big Bad John,Jimmy Dean,7,61uAY9xdzYiIbYJ07XvKso
1961-11-15,Big Bad John,Jimmy Dean,8,61uAY9xdzYiIbYJ07XvKso
1961-11-22,Big Bad John,Jimmy Dean,9,61uAY9xdzYiIbYJ07XvKso
1961-11-29,Big Bad John,Jimmy Dean,10,61uAY9xdzYiIbYJ07XvKso
1961-12-06,Please Mr. Postman,The Marvelettes,15,6jX5mso4x00c1EiNMrTU9U
1961-12-13,The Lion Sleeps Tonight,The Tokens,6,2F4FNcz68howQWD4zaGJSi
1961-12-20,The Lion Sleeps Tonight,The Tokens,7,2F4FNcz68howQWD4zaGJSi
1961-12-27,The Lion Sleeps Tonight,The Tokens,8,2F4FNcz68howQWD4zaGJSi
1962-01-03,The Lion Sleeps Tonight,The Tokens,8,2F4FNcz68howQWD4zaGJSi
1962-01-10,The Twist,Chubby Checker,27,4YCnTYbq3oL1Lqpyxg33CU
1962-01-17,The Twist,Chubby Checker,28,4YCnTYbq3oL1Lqpyxg33CU
1962-01-24,Peppermint Twist - Part I,Joey Dee & the Starliters,10,227euiIPZryCQGJsYNuwW3
1962-01-31,Peppermint Twist - Part I,Joey Dee & the Starliters,11,227euiIPZryCQGJsYNuwW3
1962-02-07,Peppermint Twist - Part I,Joey Dee & the Starliters,12,227euiIPZryCQGJsYNuwW3
1962-02-14,Duke Of Earl,Gene Chandler,6,6Hy22YDN9HJMRlJP1LwnJy
1962-02-21,Duke Of Earl,Gene Chandler,7,6Hy22YDN9HJMRlJP1LwnJy
1962-02-28,Duke Of Earl,Gene Chandler,8,6Hy22YDN9HJMRlJP1LwnJy
1962-03-07,Hey! Baby,Bruce Channel,7,0obIo2GEab6qqms6t3JaMY
1962-03-14,Hey! Baby,Bruce Channel,8,0obIo2GEab6qqms6t3JaMY
1962-03-21,Hey! Baby,Bruce Channel,9,0obIo2GEab6qqms6t3JaMY
1962-03-28,Don't Break The Heart That Loves You,Connie Francis,8,2fAB9BufYdc9AJLE6BusXP
1962-04-04,Johnny Angel,Shelley Fabares,6,6XEW0P64pYXfD06e4oLcWz
1962-04-11,Johnny Angel,Shelley Fabares,7,6XEW0P64pYXfD06e4oLcWz
1962-04-18,Good Luck Charm,Elvis Presley With The Jordanaires,6,19gotedXtqeE8dWju6WURW
1962-04-25,Good Luck Charm,Elvis Presley With The Jordanaires,7,19gotedXtqeE8dWju6WURW
1962-05-02,Soldier Boy,The Shirelles,7,7xt1KHm7ToHgfOaNhvONRR
1962-05-09,Soldier Boy,The Shirelles,8,7xt1KHm7ToHgfOaNhvONRR
1962-05-16,Soldier Boy,The Shirelles,9,7xt1KHm7ToHgfOaNhvONRR
1962-05-23,Stranger On The Shore,Mr. Acker Bilk,11,1UUqBCegaEWTuaYdwc7QQx
1962-05-30,I Can't Stop Loving You,Ray Charles,5,2b8cQfktOXRqaeAXSB4zaP
1962-06-06,I Can't Stop Loving You,Ray Charles,6,2b8cQfktOXRqaeAXSB4zaP
1962-06-13,I Can't Stop Loving You,Ray Charles,7,2b8cQfktOXRqaeAXSB4zaP
1962-06-20,I Can't Stop Loving You,Ray Charles,8,2b8cQfktOXRqaeAXSB4zaP
1962-06-27,I Can't Stop Loving You,Ray Charles,9,2b8cQfktOXRqaeAXSB4zaP
1962-07-04,The Stripper,David Rose and His Orchestra,9,00vH2PsEQTGRyJYhyIyDbr
1962-07-11,Roses Are Red (My Love),Bobby Vinton,6,5zw4SajQ2IKvjnSWXOSDrh
1962-07-18,Roses Are Red (My Love),Bobby Vinton,7,5zw4SajQ2IKvjnSWXOSDrh
1962-07-25,Roses Are Red (My Love),Bobby Vinton,8,5zw4SajQ2IKvjnSWXOSDrh
1962-08-01,Roses Are Red (My Love),Bobby Vinton,9,5zw4SajQ2IKvjnSWXOSDrh
1962-08-08,Breaking Up Is Hard To Do,Neil Sedaka,7,2x6pbpjVGjiWCcH89IK8AX
1962-08-15,Breaking Up Is Hard To Do,Neil Sedaka,8,2x6pbpjVGjiWCcH89IK8AX
1962-08-22,The Loco-Motion,Little Eva,9,5xzdDMhFYiuUONB0Mha9VS
1962-08-29,Sheila,Tommy Roe,6,5Mzu8smN6fRBCaUaTytD1W
1962-09-05,Sheila,Tommy Roe,7,5Mzu8smN6fRBCaUaTytD1W
1962-09-12,Sherry,The 4 Seasons,4,7sqK6f8dHVx3Q1GjFrVyGl
1962-09-19,Sherry,The 4 Seasons,5,7sqK6f8dHVx3Q1GjFrVyGl
1962-09-26,Sherry,The 4 Seasons,6,7sqK6f8dHVx3Q1GjFrVyGl
1962-10-03,Sherry,The 4 Seasons,7,7sqK6f8dHVx3Q1GjFrVyGl
1962-10-10,Sherry,The 4 Seasons,8,7sqK6f8dHVx3Q1GjFrVyGl
1962-10-17,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",7,0xxZY5C9xxij3D1HkzbnfC
1962-10-24,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",8,0xxZY5C9xxij3D1HkzbnfC
1962-10-31,He's A Rebel,The Crystals,9,0mG8Hety4RELeo6p808fcy
1962-11-07,He's A Rebel,The Crystals,10,0mG8Hety4RELeo6p808fcy
1962-11-14,Big Girls Don't Cry,The 4 Seasons,5,00meczE1jpLTX0BBzIGrAR
1962-11-21,Big Girls Don't Cry,The 4 Seasons,6,00meczE1jpLTX0BBzIGrAR
1962-11-28,Big Girls Don't Cry,The 4 Seasons,7,00meczE1jpLTX0BBzIGrAR
1962-12-05,Big Girls Don't Cry,The 4 Seasons,8,00meczE1jpLTX0BBzIGrAR
1962-12-12,Big Girls Don't Cry,The 4 Seasons,9,00meczE1jpLTX0BBzIGrAR
1962-12-19,Telstar,The Tornadoes,8,5e7Iydav7OtvZft8sB2pW7
1962-12-26,Telstar,The Tornadoes,9,5e7Iydav7OtvZft8sB2pW7
1963-01-02,Telstar,The Tornadoes,10,5e7Iydav7OtvZft8sB2pW7
1963-01-09,Go Away Little Girl,Steve Lawrence,10,0xx4lbu88MyZRjq8f45B0e
1963-01-16,Go Away Little Girl,Steve Lawrence,11,0xx4lbu88MyZRjq8f45B0e
1963-01-23,Walk Right In,The Rooftop Singers,4,4WhT2YADjcU58IUgroWZQZ
1963-01-30,Walk Right In,The Rooftop Singers,5,4WhT2YADjcU58IUgroWZQZ
