track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
366wRPrx2airjcCRkxgoS2,0.38,0.638,3,-9.647,0,0.0504,0.75,0.0,0.258,0.749,79.125,114200,4,114.2,0.225,0.807,0.456,0.325
0pnfT3OLqlnIvO0uMYgCfM,0.617,0.444,7,-10.133,1,0.0371,0.6980000000000001,0.0,0.0999,0.913,127.699,133453,4,133.45332,0.538,1.0,0.589,0.387
45Szkclj1lt4ubm7RFK68t,0.594,0.533,10,-7.993,0,0.0438,0.153,1.49e-05,0.172,0.729,78.552,137307,4,137.30667,0.078,1.0,0.43,0.406
7qEwxMKJu8EsjvOoxMJoTT,0.811,0.528,3,-9.721,1,0.0332,0.784,1.58e-05,0.141,0.942,130.191,151160,4,151.16,0.378,1.0,0.064,0.338
1sM0yZDxUhPQhkDh2CLd6l,0.723,0.44,2,-10.536,1,0.0319,0.667,0.0,0.128,0.843,123.217,143200,4,143.2,0.757,0.96,0.376,0.482
6sbj89WozjblBMa5u41orw,0.5720000000000001,0.392,9,-10.555,1,0.0325,0.778,0.000435,0.15,0.381,128.255,132040,3,132.04,0.504,1.0,0.83,0.604
2TEdI0KNrYHo4UPhrt0ais,0.767,0.269,3,-14.983,1,0.0333,0.774,0.0,0.0875,0.534,129.921,157267,4,157.26666,0.69,1.0,0.185,0.242
5mOECh8BAECe5HEHzJUvpd,0.455,0.8190000000000001,0,-9.322,0,0.184,0.925,0.0441,0.84,0.902,163.686,150400,4,150.4,0.067,0.837,0.451,0.45
79s3pSe1u6ggQBEwVPm58Z,0.5690000000000001,0.722,0,-8.914,1,0.0393,0.225,0.0,0.108,0.965,142.736,159640,4,159.64,0.352,1.0,0.745,0.673
2ELAMT68a78OGwhCgj9Kai,0.844,0.462,1,-9.855,1,0.0525,0.713,0.0234,0.106,0.947,84.913,118427,4,118.42667,0.0,1.0,0.647,0.603
25TcXSVruQ3Oox1RyqRCFf,0.525,0.121,0,-19.451,1,0.029,0.859,5.98e-06,0.191,0.631,107.408,165559,4,165.55946,0.445,0.857,0.856,0.738
06JokgprGDKrtZ1eP6z2CQ,0.487,0.441,1,-11.297,1,0.0722,0.761,0.0,0.15,0.604,82.707,149800,4,149.8,0.281,0.758,0.276,0.58
5dUMh0ugelpKfoFp3qChuK,0.598,0.5710000000000001,8,-12.616,0,0.139,0.704,0.0,0.513,0.962,173.141,119880,4,119.88,0.393,1.0,0.479,0.472
1DndHckdH9m5rp6gYP086b,0.364,0.607,2,-9.791,1,0.125,0.451,0.0,0.251,0.598,79.987,171600,4,171.6,0.256,1.0,0.393,0.489
61uAY9xdzYiIbYJ07XvKso,0.516,0.457,8,-12.609,1,0.184,0.596,0.0,0.106,0.455,173.934,182560,4,182.56,0.181,0.986,0.324,0.429
6jX5mso4x00c1EiNMrTU9U,0.785,0.776,2,-5.259,1,0.0312,0.729,0.0,0.181,0.967,121.505,148040,4,148.04,0.788,1.0,0.462,0.471
2F4FNcz68howQWD4zaGJSi,0.321,0.474,5,-9.383,1,0.0348,0.743,0.0,0.204,0.804,121.199,162093,4,162.09332,0.371,0.993,0.812,0.703
227euiIPZryCQGJsYNuwW3,0.366,0.8140000000000001,0,-8.425,1,0.0628,0.687,1.51e-06,0.408,0.964,198.24,121880,4,121.88,0.728,1.0,0.869,0.649
6Hy22YDN9HJMRlJP1LwnJy,0.422,0.28,5,-11.277,1,0.0365,0.8240000000000001,0.0,0.297,0.496,100.839,147841,4,147.84113,0.15,1.0,0.267,0.409
0obIo2GEab6qqms6t3JaMY,0.515,0.623,9,-5.597,1,0.036,0.359,0.0,0.274,0.643,64.253,143627,4,143.62703,0.047,0.965,0.309,0.383
2fAB9BufYdc9AJLE6BusXP,0.4,0.419,8,-7.268,1,0.0321,0.856,0.0,0.269,0.219,73.711,186160,4,186.16,0.166,0.538,0.368,0.394
6XEW0P64pYXfD06e4oLcWz,0.369,0.385,0,-9.132,1,0.0282,0.872,0.0,0.279,0.735,108.025,139320,4,139.32,0.335,0.772,0.343,0.527
19gotedXtqeE8dWju6WURW,0.618,0.467,2,-13.166,1,0.0336,0.56,1.05e-05,0.5,0.904,121.646,145080,4,145.08,0.752,1.0,0.326,0.418
7xt1KHm7ToHgfOaNhvONRR,0.5760000000000001,0.238,10,-13.354,1,0.0259,0.755,0.00026,0.294,0.581,97.587,162027,4,162.02667,0.688,1.0,0.708,0.785
1UUqBCegaEWTuaYdwc7QQx,0.265,0.379,10,-11.017,1,0.0312,0.293,0.808,0.207,0.322,72.89,198333,4,198.33333,0.006,0.625,0.532,0.465
2b8cQfktOXRqaeAXSB4zaP,0.17,0.134,5,-22.538,1,0.0367,0.73,0.0,0.349,0.372,79.558,253616,4,256.13333,0.422,0.752,0.912,0.753
00vH2PsEQTGRyJYhyIyDbr,0.471,0.458,0,-10.122,1,0.0285,0.7020000000000001,0.552,0.326,0.528,94.183,116733,4,116.73333,0.541,1.0,0.44,0.518
5zw4SajQ2IKvjnSWXOSDrh,0.499,0.145,5,-14.145,1,0.0319,0.756,0.0,0.35,0.48,101.949,158407,4,158.40652,0.433,0.545,0.564,0.57
2x6pbpjVGjiWCcH89IK8AX,0.743,0.799,8,-5.466,0,0.0375,0.6990000000000001,0.0,0.0635,0.965,116.112,139200,4,139.2,0.85,1.0,0.426,0.531
5xzdDMhFYiuUONB0Mha9VS,0.629,0.782,3,-9.595,1,0.0574,0.709,0.0215,0.304,0.736,128.973,139120,4,139.12,0.62,1.0,0.519,0.524
5Mzu8smN6fRBCaUaTytD1W,0.422,0.5750000000000001,4,-8.993,1,0.107,0.275,0.0,0.062,0.475,135.63,127067,4,127.06667,0.487,1.0,0.759,0.678
7sqK6f8dHVx3Q1GjFrVyGl,0.7010000000000001,0.471,0,-8.072,1,0.0421,0.647,0.0,0.125,0.6900000000000001,117.564,152160,4,152.16,0.906,1.0,0.107,0.279
0xxZY5C9xxij3D1HkzbnfC,0.541,0.504,11,-14.191,0,0.457,0.375,0.0,0.421,0.707,68.482,192040,4,192.04,0.261,1.0,0.348,0.339
0mG8Hety4RELeo6p808fcy,0.712,0.757,6,-6.449,1,0.0572,0.63,1.63e-06,0.529,0.866,117.367,150605,4,150.60463,0.632,1.0,0.583,0.456
00meczE1jpLTX0BBzIGrAR,0.764,0.84,2,-5.023,1,0.0672,0.393,8.64e-06,0.0686,0.843,130.276,148013,4,148.01306,0.461,1.0,0.337,0.515
5e7Iydav7OtvZft8sB2pW7,0.327,0.91,9,-3.834,1,0.0463,0.00237,0.838,0.344,0.786,145.291,197253,4,197.25333,0.359,1.0,0.139,0.384
0xx4lbu88MyZRjq8f45B0e,0.408,0.294,0,-14.149,1,0.0317,0.491,0.0,0.225,0.5710000000000001,108.639,132093,4,132.09332,0.234,0.859,0.583,0.474
4WhT2YADjcU58IUgroWZQZ,0.681,0.66,3,-10.426,1,0.0319,0.791,0.0364,0.0669,0.965,130.019,157267,4,157.26666,0.818,0.988,0.98,0.632
3kl9waNDdEv2BqDJBu9fuw,0.432,0.283,7,-11.691,1,0.031,0.84,0.155,0.199,0.31,110.33,146945,3,146.94458,0.187,1.0,0.536,0.591
4C76SOnBa9eQDwOwe11hPz,0.681,0.64,3,-10.364,1,0.0346,0.605,0.0,0.0641,0.966,117.884,137933,4,137.93333,0.569,1.0,0.367,0.545
3ngYXFSYtF5mHguNCA3JZ0,0.538,0.625,8,-7.721999999999999,1,0.045,0.708,0.000126,0.128,0.718,92.422,154707,4,154.70667,0.442,0.617,0.281,0.501
2Bs1Lw9LX8hBm70t1iGdlh,0.558,0.633,7,-3.265,1,0.0329,0.487,0.0,0.129,0.871,72.494,112520,4,112.52,0.048,1.0,0.924,0.727
7dFKoNC2k5qgbXrbcMCHQ0,0.633,0.562,0,-7.178,1,0.0347,0.521,0.0,0.0956,0.799,125.108,147400,4,147.4,0.393,1.0,0.457,0.461
7D97JnBT73FWUh9KmRvP9M,0.673,0.866,10,-8.34,1,0.0391,0.6950000000000001,0.0002309999999999,0.328,0.839,93.224,143000,4,143.0,0.395,0.812,0.596,0.229
1Pq47iFLC5U7j8xeNiNcuS,0.6920000000000001,0.501,9,-11.708,1,0.0625,0.368,0.0,0.0393,0.961,128.388,140000,4,140.0,0.785,1.0,0.419,0.628
6meIeOX3DHdaCnaNw67abE,0.415,0.359,7,-11.094,1,0.0334,0.707,6.53e-05,0.319,0.404,146.029,189520,4,189.52,0.361,0.935,0.453,0.517
2C5p7j2gw7Jr2VAZDiNP4u,0.796,0.475,4,-11.216,1,0.0435,0.486,1.5199999999999998e-06,0.195,0.883,136.459,126040,4,126.04,1.0,1.0,0.356,0.33
1Oewmmr12xuhgzvUJ9Q0cf,0.534,0.807,8,-12.871,1,0.0349,0.497,5e-05,0.232,0.964,147.843,147267,4,147.26666,0.738,1.0,0.601,0.599
6h0LLmMVZY108wNzD5UM6O,0.546,0.494,4,-10.39,1,0.034,0.787,0.000111,0.453,0.44,75.655,140467,4,140.46667,0.422,0.583,0.244,0.34
6SvMoVRctg7Z3jDtlYIYlL,0.35,0.873,7,-7.241,0,0.39,0.622,0.242,0.673,0.346,136.69,190213,4,190.21333,0.366,0.77,0.638,0.453
5NiFSI8iIDtVm1NCwdYrHS,0.683,0.885,3,-6.099,1,0.155,0.629,0.0,0.075,0.954,135.134,136800,4,136.8,0.671,0.874,0.268,0.4
3WO8ZBnOtad3xMz46Z54pY,0.418,0.153,10,-14.484,1,0.0293,0.879,4.23e-06,0.156,0.267,80.748,167927,4,167.92671,0.217,0.075,0.471,0.345
18CglpvgJf2PbHcFijT6gf,0.792,0.803,7,-7.484,1,0.0664,0.225,5.01e-06,0.065,0.881,132.85,123693,4,123.69333,0.921,1.0,0.629,0.818
5kJez8nvgq0HqhWy3UTQFx,0.507,0.32,5,-12.472,1,0.0305,0.881,2.59e-05,0.153,0.5750000000000001,130.565,160133,3,160.13333,0.759,0.649,0.657,0.553
4To8mxhdtvoKpELxEHOGGU,0.226,0.36,6,-12.042,1,0.0413,0.807,0.00221,0.363,0.715,210.186,133792,3,133.79193,0.03,1.0,0.105,0.433
4ns69146GVKS3AwM922kTE,0.75,0.333,0,-8.135,0,0.0979,0.955,0.0,0.106,0.651,135.913,174947,4,174.94667,0.442,1.0,0.379,0.363
3mwiyHBHfAzOe89MwqJeEb,0.26,0.355,2,-7.955,1,0.03,0.776,0.0,0.136,0.338,78.464,144947,4,144.94667,0.178,0.944,0.28,0.451
5Qe7NHxeLAn8KoLTNLSdwe,0.496,0.7030000000000001,7,-6.905,1,0.0377,0.525,2.12e-06,0.305,0.936,130.915,146720,4,146.72,0.608,1.0,0.452,0.512
0qsS2A3hwicJCLtcaR6JRQ,0.321,0.895,7,-5.157,1,0.0463,0.389,0.0,0.177,0.904,149.807,142653,4,142.65334,0.111,0.919,0.406,0.443
3SdingSsFcZDZAyvcJbgAw,0.483,0.677,0,-5.91,1,0.0593,0.283,0.0,0.321,0.842,170.72,131867,4,131.86667,0.423,0.945,0.669,0.515
63kd4m3VFxcJjPVVtbVNAu,0.0,0.405,0,-9.935,1,0.0,0.842,0.00114,0.198,0.0,0.0,147000,0,147.0,0.0,0.0,0.297,0.482
4591VqUIXysNlmI5NcAIUd,0.6910000000000001,0.581,10,-7.85,1,0.065,0.557,4.6200000000000005e-05,0.147,0.91,126.615,174440,4,174.44,0.293,1.0,0.23,0.113
3VbGCXWRiouAq8VyMYN2MI,0.52,0.8290000000000001,0,-6.228,1,0.0806,0.386,6.2e-05,0.227,0.744,147.997,141693,4,141.69333,0.519,1.0,0.662,0.598
7vVG9xbmNQrtdSPTi7KDUm,0.602,0.348,9,-10.061,1,0.0288,0.7000000000000001,0.0,0.52,0.75,124.606,170787,4,170.78694,0.383,1.0,0.339,0.487
7fO6hgP2MnAjVtSxResRw2,0.548,0.8270000000000001,4,-6.197,1,0.0336,0.147,0.0,0.147,0.777,130.043,164760,4,164.76,0.875,1.0,0.474,0.474
3v9xlH6BpmRbqL7hgNJhfT,0.389,0.626,9,-7.813,0,0.0541,0.366,0.0,0.0663,0.514,144.337,134387,4,134.38667,0.352,0.825,0.283,0.229
6kAROIu6CLVjulTqSPYmAP,0.498,0.534,10,-8.346,1,0.0378,0.755,8.820000000000002e-05,0.0665,0.611,120.935,181560,4,181.56,0.581,1.0,0.804,0.681
65vdMBskhx3akkG9vQlSH1,0.767,0.331,1,-10.777,0,0.0337,0.64,0.0,0.0681,0.636,113.312,149693,4,149.69333,0.792,0.981,0.358,0.485
5I9sHwLDX28tLtzVgKLtpr,0.366,0.391,3,-12.322,1,0.0425,0.854,0.0,0.352,0.461,119.182,164547,3,164.54668,0.132,1.0,0.826,0.663
69RH84na5iUNwrwxpgjC5j,0.5670000000000001,0.49,0,-10.867,1,0.0414,0.79,1.42e-05,0.0919,0.847,134.923,153333,4,153.33333,0.604,0.988,0.905,0.174
7BY005dacJkbO6EPiOh2wb,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,271280,3,271.28,0.649,0.992,0.394,0.466
48i055G1OT5KxGGftwFxWy,0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433,178933,4,178.93333,0.856,0.792,0.467,0.381
48ZjHLkaHpXIlGGYUlb3bZ,0.66,0.583,4,-7.361,1,0.0512,0.282,0.0,0.0553,0.941,125.44,144147,4,144.14667,0.795,0.77,0.617,0.461
5uES1C2NgkdrNHiCwf9jRr,0.595,0.643,5,-9.275,1,0.0365,0.757,0.0,0.538,0.731,135.633,158040,4,158.04,0.309,0.985,0.234,0.185
6O5PIO5pAWxdoxvaUFQ02G,0.423,0.55,0,-8.738,1,0.0975,0.708,0.0,0.682,0.313,119.702,171333,4,171.33333,0.025,1.0,0.549,0.455
5GHbWzjRy1XfnTf5rkA8bf,0.5630000000000001,0.521,11,-12.568,1,0.311,0.864,0.0,0.216,0.653,110.794,214213,4,214.21333,0.34,0.54,0.354,0.447
5KG2ahk1cONbHvg3dBdTbx,0.245,0.293,4,-10.361,1,0.0303,0.8170000000000001,0.0,0.177,0.344,168.984,161373,3,161.37334,0.065,0.713,0.666,0.554
307kcWJQNMdiYYKj1LgClU,0.732,0.505,7,-11.735,1,0.0464,0.6880000000000001,1.04e-06,0.146,0.866,126.319,163093,4,163.09332,0.656,1.0,0.25,0.34
4gxs9En3aoaOm2J5wNMMm9,0.592,0.811,7,-7.299,1,0.0446,0.339,4.03e-06,0.412,0.803,89.918,140400,4,140.4,0.501,1.0,1.0,0.852
6S55C80YzjhSrCRRd1p80b,0.48,0.6890000000000001,11,-7.921,1,0.0646,0.78,0.0,0.149,0.596,117.413,187760,4,187.76,0.641,0.828,0.0,0.039
6AeyHqzNHJthYJbn0tvJ4b,0.369,0.305,1,-14.303,1,0.0267,0.522,0.0,0.0579,0.376,94.791,226453,4,226.45332,0.346,0.918,0.736,0.611
44zDLad2CZrhWg2lg9nfuy,0.645,0.649,10,-8.345,0,0.031,0.253,0.0,0.107,0.5670000000000001,133.652,132400,4,132.4,0.863,1.0,0.341,0.412
745H5CctFr12Mo7cqa1BMH,0.5740000000000001,0.418,0,-10.739,1,0.0345,0.636,0.0,0.0961,0.6920000000000001,104.57,165000,4,165.0,0.207,1.0,0.638,0.622
1Dg4dFJr3HW7sbA7vPejre,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134,163600,4,163.6,0.215,1.0,0.561,0.491
52FlwUMMDnTK8TGkCag9Jd,0.612,0.444,0,-12.752,1,0.0293,0.531,0.0,0.126,0.503,114.961,172907,4,172.90668,0.732,1.0,0.581,0.485
3qC08srhXBJ6DEQ7CwPMB0,0.605,0.6990000000000001,3,-6.875,1,0.0317,0.378,0.0,0.305,0.891,71.38,128907,4,128.90668,0.073,0.957,0.226,0.092
0jUfBCWrfrZGueD8MjvgMo,0.5750000000000001,0.8250000000000001,9,-4.251,1,0.0311,0.0865,0.0,0.193,0.963,109.168,127093,4,127.09333,0.724,1.0,0.544,0.574
