Song,Artist,Track ID
the streak,ray stevens,7FUk1EkNJLXyjadbiHlw0C
band on the run,paul mccartney,1H4idkmruFoJBg1DvUv2tY
billy don't be a,bo donaldson,6ZqgJAbxuEUjazBLN5V0U4
sundown,gordon lightfoot,0SjnBEHZVXgCKvOrpvzL2k
rock the boat,the hues,7fu3Tv5rcoGD1PZV7s57WW
rock your baby,george mccrae,16KwF7IrKHTVTitUKH58g3
annie's song,john denver,4J0DbyODwZJcmIAiTSJfMF
feel like makin' love,roberta flack,7gkboYtvhuXNS4EUwmFPcw
the night chicago died,paper lace,4f4RRYN3R7glPElFjeoUnC
having my baby,paul anka,5PuAFxKmqG72uKyoo11zpQ
i shot the sheriff,eric clapton,0UOxp1BpnD8uPQMKU4wKjz
can't get enough of,barry white,3mWpUEBYnv9SIFWfixSJFx
rock me gently,andy kim,6CmowFMfHPyMx6c4tHOb0k
i honestly love you,olivia newton-john,5q8UoqDHPe9bU4R5bbvcJF
nothing from nothing,billy preston,72PoJMDfdaw9gGECgA9kTZ
then came you,dionne warwicke,2ARBXxaM4pzXhGpFoZPAg7
you haven't done nothin,stevie wonder,1inwt0v9a4ib9yS6Y4KsdM
you ain't seen nothing,bachman-turner overdrive,0HOrDVS349XFcpCYsO2hAP
whatever gets you thru,john lennon,49nBXQzYNyjoBmUda3ezMf
i can help,billy swan,4oW1lGOw5Q5OLvoJv92qoE
kung fu fighting,carl douglas,7K8QsHbmUpSX37oOCL4e2g
cat's in the cradle,harry chapin,2obblQ6tcePeOEVJV6nEGD
angie baby,helen reddy,46OZwUIGXFDclUHJYjunOj
lucy in the sky,elton john,13JsYnkF16pHKuOFG6uI1C
mandy,barry manilow,6iXQrhhgBisdfvS34EMTZ3
please mr. postman,carpenters,74jZhGv0fdLaf9q8AZZ15k
laughter in the rain,neil sedaka,2ozTcQyZQmm9tSmc4VZfwU
fire,ohio players,06xkqQuJzl1ddeK48jG6qa
you're no good,linda ronstadt,23DZLSxCK6kM8FF2RlzKDl
