,track_name,track_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
594,Addicted To Love,5izGeTxueiFX1UPFGohY9w,Robert Palmer,530Sdm7eqqzWBdDmILMgnu,0.5581908076440221,0.32223723113882086,2,-13.415,1,-0.865773239202432,-0.058384403252789374,-0.044754589177505744,-0.9299821174524558,0.9852672798783273,111.617,4,6:03,0.6669946737196699,1.0,0.629510965619748,0.3507286254982911
595,West End Girls,2Di0qFNb7ATroCGB3q0Ka7,Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh,0.4779115557048086,0.8874560689262267,4,-7.471,0,-0.830096839588664,-0.9973992639928003,0.7618437008056724,-0.607433032313522,0.3269470315206695,113.259,4,4:45,0.870165046637323,1.0,-0.5942243330597132,-0.4667267149720211
596,Greatest Love Of All,6yJxCltgtmGxIgKOS6ndnu,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,0.1919206554514017,-0.23395773527723118,9,-16.011,1,-0.8534236398330443,0.14889689855011246,-0.0887872826735363,-0.719818207898833,-0.3537451625721296,131.242,4,4:51,-0.47152769791290583,0.9768240514495763,-0.30807193931425625,0.16029096884676064
597,Live To Tell,095MMFhB9qxPx2VsmvjnUs,Madonna,6tbjWDEIzxoDsBA1FuhfPW,0.47082567703812295,0.21451429900791474,2,-6.752,0,-0.8888618889833617,-0.32048453930694454,0.41008073669228295,-0.7471993043950258,-0.3842907022337444,109.943,4,5:51,0.4079732077268612,1.0,0.0056795165118628255,0.13119435170845017
598,On My Own,5HrVgmO1govSOrPUehW1VV,Patti LaBelle & Michael McDonald,0ty0xha1dbprYIUAQufkFn,0.413513152402891,-0.02402731953614856,5,-12.964,1,-0.8854336881009454,-0.15474414817584392,0.15897349397007243,-0.22989795301440485,0.14952214715539447,92.093,4,4:50,0.19673041064728936,1.0,0.27939046679916446,0.08995976651160786
599,There'll Be Sad Songs (To Make You Cry),1mP8BJQBRZWjSQLVmxQEyG,Billy Ocean,5IDs1CK15HegSAhGEbSYXo,0.30856285911174486,0.09065155176864925,0,-7.673,1,-0.8679059908372404,0.6254968002752785,-1.0,-0.7582210627142152,-0.3281464372919425,79.738,4,4:52,-0.2854590486408809,0.7781681971962986,-0.9231276366877839,-0.14264318010353993
600,Holding Back The Years,1yg7fwwYmx9DQ2TdXUmfpJ,Simply Red,1fa0cOhromAZdq2xRA4vv8,0.5719306189915687,0.2010076995891148,9,-8.885,0,-0.8794407610972074,0.3313609534854314,0.24186668073990014,-0.7795509339280535,0.2156452856602915,86.02,4,4:29,-0.6885015346441106,1.0,0.23459696568169286,0.2978511189062423
601,Invisible Touch,0xpBr84T3FTm9j4D1MdPtk,Genesis,3CkvROUTQ6nRi9yQOcsB50,0.40808217883563347,0.9133478133890189,0,-6.845,1,-0.8508728754554009,-0.5035885211681329,0.44586955547115714,-0.5760704469223761,0.7929638162818797,131.014,4,3:28,0.8912154063627444,1.0,-0.328576179359076,0.1292441048739612
602,Sledgehammer,4AUS8KNz7zX8XFu9L38GT0,Peter Gabriel,7C4sUpWGlTy7IANjruj02I,0.4512506856705605,0.5091199054839037,8,-7.561,1,-0.8309429220331,-0.8748023808729827,-1.0,-0.9390495606048813,0.11986680144126538,96.319,4,5:11,-0.05398486416765225,1.0,0.906157905225015,0.42915047770325154
603,"Glory Of Love (Theme From ""The Karate Kid Part II"")",1eyq8cjUQ2daFthW2PC2GM,Peter Cetera,5xWPOujQqd4wXyB08slZ9Z,0.22682521728182437,0.3810202866721428,5,-7.935,1,-0.8777299955468509,-0.7747720873635623,-0.10488863122780456,-0.31461073312654164,-0.17030649573538215,144.983,4,4:18,-0.28320747608669217,0.7703677326407021,0.23271539399338104,0.09983110724391087
604,Papa Don't Preach,6A8OnjnpShshNpcqWtZRjr,Madonna,6tbjWDEIzxoDsBA1FuhfPW,0.7754508251110046,0.9178932724295414,5,-3.243,0,-0.8644940846352139,-0.14171038395689806,-0.023160983748831687,-0.9020723725736942,0.9689748809796661,121.879,4,4:28,0.9446500831143034,1.0,0.2923253143157871,0.3919876262198001
605,Higher Love,4ZExvJvQXPEeYzGU0N3THi,Steve Winwood,5gxynDEKwNDgxGJmJjZyte,0.5461153911972505,0.674933814675815,5,-12.159,1,-0.8216449580759928,-0.8787084648519727,0.8352161187364411,-0.26256233047137445,0.9540842290258986,98.699,4,5:51,0.4168159669671927,1.0,0.46757633725036407,-0.16200106913746848
606,Venus,4XX1pFUkQOZTYp6Hb6a6Ae,Bananarama,3sc7iUG1Wwpwx7bHeZolgx,0.5924202787191588,0.9584879562835875,9,-4.812,1,-0.779627556785685,-0.7538343547669161,0.9595704489463333,-0.3098421222679185,0.889173860004373,126.113,4,3:49,0.9358127405802932,1.0,-0.42387359934936764,-0.1989241408325425
607,"Take My Breath Away (Love Theme From ""Top Gun"")",15MJ5NThPjj6xhPcts8MiY,Berlin,2aS6jYh7ysTL1ZUsHneNgM,0.1821506917453961,0.5728314497434526,6,-9.397,1,-0.8845770553833902,-0.8269620068280614,-1.0,-0.008404084147727753,0.272769938497857,95.769,4,4:15,0.9121133048248058,1.0,0.28678890695978465,0.644236549458689
608,Stuck With You,2cFl7utlqyZjCXN1G5nRvA,Huey Lewis & The News,7A9yZMTrFZcgEWAX2kBfK6,0.5616318055740321,0.258459495858574,4,-11.402,0,-0.8871474544095055,-0.7565102780529444,0.04106252520294018,-0.9343662181535491,0.41984947672581874,120.717,4,4:29,0.72470439906404,1.0,-0.5942243330597132,-0.2518685635549246
609,When I Think Of You,3mJ6pNcFM2CkykCYSREdKT,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,0.6547095236351934,0.43329187844092654,9,-11.386,1,-0.817003339381214,-0.7653583189283901,0.7061461852235942,-0.9029406906776427,0.5581584406554911,116.207,4,3:55,0.9372875119294337,1.0,-0.6397042776831428,-0.6244645059079503
610,True Colors,2A6yzRGMgSQCUapR2ptm6A,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,-0.020418511904466974,-0.4625348898993087,0,-13.155,1,-0.8568269626223834,0.5461582561606166,0.09883235038205118,-0.7225452635319733,-0.30736783621799846,171.282,4,3:47,0.17569001850855503,0.6147098441152081,0.4831496948375913,0.5395434784988955
611,Amanda,4gpext9x0CbdD9NWaa4nDj,Boston,29kkCKKGXheHuoO829FxWK,0.08666332003369859,0.02156221958828497,7,-14.06,1,-0.8602329218584194,-0.19199326427794405,-0.1533354171155491,-0.7471993043950258,-0.3281464372919425,125.494,4,4:16,0.566494194756233,0.92398735484051,0.13509089528749363,0.42387071395784304
612,Human,1JQnfjrA01XFf6MVNMkQu2,The Human League,1aX2dmV8XoHYCOQRxjPESG,0.4654999995937328,0.35728181930059244,8,-8.611,1,-0.8918637590695048,-0.8653379419193461,0.33975153936651825,-0.9276465090066518,0.020836476243649704,101.407,4,3:48,0.30336636126421856,0.9811837451751659,-0.13194465067280503,0.23647731119090953
