,Song,Artist
1267,truly,lionel richie
1269,mickey,toni basil
1270,maneater,daryl hall john oates
1274,down under,men at work
1277,africa,toto
1279,baby come to me,patti austin a duet
1281,billie jean,michael jackson
1288,come on eileen,dexys midnight runners
1289,beat it,michael jackson
1292,let's dance,david bowie
1293,flashdance what a feeling,irene cara
1299,every breath you take,the police
1307,sweet dreams,eurythmics
1308,maniac,michael sembello
1310,tell her about it,billy joel
1311,total eclipse of the,bonnie tyler
1315,islands in the stream,kenny rogers duet with
1317,all night long,lionel richie
1321,say say say,paul mccartney and michael
1326,owner of a lonely,yes
1328,karma chameleon,culture club
1331,jump,van halen
1336,footloose,kenny loggins
1339,against all odds,phil collins
1342,hello,lionel richie
1344,let's hear it for,deniece williams
1346,time after time,cyndi lauper
1348,the reflex,duran duran
1350,when doves cry,prince
1355,ghostbusters,ray parker jr.
1358,what's love got to,tina turner
1361,missing you,john waite
1362,let's go crazy,prince and the revolution
1364,i just called to,stevie wonder
1367,caribbean queen,billy ocean
1369,wake me up before,wham!
1372,out of touch,daryl hall john oates
1374,like a virgin,madonna
1380,i want to know,foreigner
1382,careless whisper,wham!
1385,can't fight this feeling,reo speedwagon
1388,one more night,phil collins
1390,we are the world,usa for africa
1394,crazy for you,madonna
1395,don't you,simple minds
1396,everything she wants,wham!
1398,everybody wants to rule,tears for fears
1400,heaven,bryan adams
1402,sussudio,phil collins
1403,a view to a,duran duran
1405,everytime you go away,paul young
1406,shout,tears for fears
1409,the power of love,huey lewis the news
1411,st. elmo's fire,john parr
1413,money for nothing,dire straits
1416,oh sheila,ready for the world
1417,take on me,a-ha
1418,saving all my love,whitney houston
1419,part-time lover,stevie wonder
1420,miami vice theme,jan hammer
1421,we built this city,starship
1423,separate lives,phil collins and marilyn
1424,broken wings,mr. mister
1426,say you say me,lionel richie
1430,that's what friends are,dionne friends
1434,how will i know,whitney houston
1436,kyrie,mr. mister
1438,sara,starship
1439,these dreams,heart
1440,rock me amadeus,falco
1443,kiss,prince and the revolution
1445,addicted to love,robert palmer
1446,west end girls,pet shop boys
1447,greatest love of all,whitney houston
1450,live to tell,madonna
1451,on my own,patti labelle michael mcdonald
1454,there'll be sad songs,billy ocean
1455,holding back the years,simply red
1456,invisible touch,genesis
1457,sledgehammer,peter gabriel
