uri,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,track_href,analysis_url,duration_ms,time_signature,num_samples,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
spotify:track:3pD0f7hSJg2XdQ6udw5Tey,What Goes Around...Comes Around,Justin Timberlake,0.687,0.723,7,-4.751,1,0.0709,0.122,0.00102,0.5730000000000001,0.432,76.0,3pD0f7hSJg2XdQ6udw5Tey,https://api.spotify.com/v1/tracks/3pD0f7hSJg2XdQ6udw5Tey,https://api.spotify.com/v1/audio-analysis/3pD0f7hSJg2XdQ6udw5Tey,448573,4,9891042,448.57333,22050,1,0.11574,448.57333,0.605,0.96,0.25,0.398
spotify:track:0AA6zq5ArZ1sSH7VIMi4NK,This Is Why I'm Hot,Mims,0.621,0.6000000000000001,8,-6.349,1,0.5760000000000001,0.277,0.0,0.495,0.485,80.021,0AA6zq5ArZ1sSH7VIMi4NK,https://api.spotify.com/v1/tracks/0AA6zq5ArZ1sSH7VIMi4NK,https://api.spotify.com/v1/audio-analysis/0AA6zq5ArZ1sSH7VIMi4NK,253707,4,5594232,253.70667,22050,1,0.0,253.70667,0.135,0.948,0.523,0.435
spotify:track:4KTtYhxFtFL7mBwnjkKfLm,Glamorous,Fergie Featuring Ludacris,0.81,0.755,0,-6.408,1,0.199,0.291,0.0,0.0857,0.625,130.991,4KTtYhxFtFL7mBwnjkKfLm,https://api.spotify.com/v1/tracks/4KTtYhxFtFL7mBwnjkKfLm,https://api.spotify.com/v1/audio-analysis/4KTtYhxFtFL7mBwnjkKfLm,246573,4,5436942,246.57333,22050,1,0.06957,237.97551,0.876,1.0,0.51,0.512
spotify:track:7I6DceMT3utDOHjcYCbrr4,Don't Matter,Akon,0.798,0.443,2,-6.062,1,0.0402,0.244,0.0,0.326,0.354,125.231,7I6DceMT3utDOHjcYCbrr4,https://api.spotify.com/v1/tracks/7I6DceMT3utDOHjcYCbrr4,https://api.spotify.com/v1/audio-analysis/7I6DceMT3utDOHjcYCbrr4,293053,4,6461826,293.05334,22050,1,0.28449,283.80008,0.263,1.0,0.278,0.305
spotify:track:0wbDgMuAoy7O7pL3a69uZx,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,0.975,0.711,8,-3.904,1,0.0632,0.168,0.000552,0.0799,0.8150000000000001,110.621,0wbDgMuAoy7O7pL3a69uZx,https://api.spotify.com/v1/tracks/0wbDgMuAoy7O7pL3a69uZx,https://api.spotify.com/v1/audio-analysis/0wbDgMuAoy7O7pL3a69uZx,234027,4,5160288,234.02667,22050,1,0.0,234.02667,0.795,1.0,0.541,0.45
spotify:track:45hOioMDJktr86iKDHC8gr,Girlfriend,Avril Lavigne,0.56,0.9590000000000001,7,-2.433,1,0.10200000000000001,0.000722,0.00022099999999999998,0.209,0.669,163.983,45hOioMDJktr86iKDHC8gr,https://api.spotify.com/v1/tracks/45hOioMDJktr86iKDHC8gr,https://api.spotify.com/v1/audio-analysis/45hOioMDJktr86iKDHC8gr,216600,4,4776030,216.6,22050,1,0.52227,210.79655,0.656,1.0,0.479,0.555
spotify:track:1lHXlGlve5Zx8tXLhyjDwM,Makes Me Wonder,Maroon 5,0.803,0.852,7,-2.429,1,0.0357,0.0048400000000000006,0.00033099999999999997,0.057600000000000005,0.878,113.998,1lHXlGlve5Zx8tXLhyjDwM,https://api.spotify.com/v1/tracks/1lHXlGlve5Zx8tXLhyjDwM,https://api.spotify.com/v1/audio-analysis/1lHXlGlve5Zx8tXLhyjDwM,211080,4,4654314,211.08,22050,1,0.10376,207.62122,0.929,1.0,0.413,0.568
spotify:track:1tkMs9wDPknQ3ZHcKDw1ES,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,0.6930000000000001,0.549,1,-8.141,1,0.11900000000000001,0.0109,0.0,0.06770000000000001,0.605,80.028,1tkMs9wDPknQ3ZHcKDw1ES,https://api.spotify.com/v1/tracks/1tkMs9wDPknQ3ZHcKDw1ES,https://api.spotify.com/v1/audio-analysis/1tkMs9wDPknQ3ZHcKDw1ES,227960,4,5026518,227.96,22050,1,0.0,227.96,0.432,0.987,0.639,0.523
spotify:track:2yPoXCs7BSIUrucMdK5PzV,Umbrella,Rihanna Featuring Jay-Z,0.585,0.8280000000000001,1,-4.603,1,0.124,0.00906,0.0,0.0426,0.584,174.034,2yPoXCs7BSIUrucMdK5PzV,https://api.spotify.com/v1/tracks/2yPoXCs7BSIUrucMdK5PzV,https://api.spotify.com/v1/audio-analysis/2yPoXCs7BSIUrucMdK5PzV,275987,4,6085506,275.98666,22050,1,0.33556,262.65833,0.425,1.0,0.609,0.619
spotify:track:4RCWB3V8V0dignt99LZ8vH,Hey There Delilah,Plain White T's,0.658,0.291,2,-10.572,1,0.0292,0.872,0.0,0.114,0.295,103.962,4RCWB3V8V0dignt99LZ8vH,https://api.spotify.com/v1/tracks/4RCWB3V8V0dignt99LZ8vH,https://api.spotify.com/v1/audio-analysis/4RCWB3V8V0dignt99LZ8vH,232533,4,5127360,232.53333,22050,1,0.13283,224.32797,0.257,0.973,0.238,0.456
spotify:track:1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,Sean Kingston,0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009,1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/tracks/1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/audio-analysis/1hGy2eLcmC8eKx7qr1tOqx,225373,4,4969482,225.37334,22050,1,0.08816,222.20335,0.781,1.0,0.011,0.362
