Song,Artist,Track ID,Artist ID,Album ID
I Will Follow Him,Little Peggy March,7dFKoNC2k5qgbXrbcMCHQ0,09vvlnqwFaimZwGAvpXgqy,20LPP32QEkCQyGIfVdhHbl
If You Wanna Be Happy,Jimmy Soul,7D97JnBT73FWUh9KmRvP9M,7k4MYPtpz3fAViMuuLi9ry,52RYT3SK1MzjGDOfcDupUA
It's My Party,Lesley Gore,1Pq47iFLC5U7j8xeNiNcuS,08b2PA6eFyugsWAk41eQKZ,7KSrseQi4wJDUfMT4mxNo8
Sukiyaki,Kyu Sakamoto,6meIeOX3DHdaCnaNw67abE,3WKkjW8B7x5UZmfC9pnDmN,5n3yhXw0DNTRIpSfRE98tT
Easier Said Than Done,The Essex,2C5p7j2gw7Jr2VAZDiNP4u,1MRFkxDxTMqNTZJSWgW7VL,4ID5sSkGkHcQduisk0aWbh
Surf City,Jan & Dean,1Oewmmr12xuhgzvUJ9Q0cf,0pqGj6vO9YHsXuZmaJaP2Y,7yzoaZNNZM1i4QV2vrgJeK
So Much In Love,The Tymes,6h0LLmMVZY108wNzD5UM6O,0a1BmEq1mZ5ufKMC2fsziR,5iZmFM0Ka5SDaAknjdDv8W
Fingertips - Pt 2,Little Stevie Wonder,6SvMoVRctg7Z3jDtlYIYlL,7guDJrEfX3qb6FEbdPA5qi,7oMcO4p7P1JtJR2G1v2NoK
My Boyfriend's Back,The Angels,5NiFSI8iIDtVm1NCwdYrHS,6YtJeguOS8yoMkmLLnzU7q,42pUInY6KQcFg0L6ySYZsa
Blue Velvet,Bobby Vinton,3WO8ZBnOtad3xMz46Z54pY,6bOYtKnpLPQSfMpS2ilotK,3bi87ndwfdokCp0Km4fxoJ
Sugar Shack,Jimmy Gilmer And The Fireballs,18CglpvgJf2PbHcFijT6gf,6Vg8U5m1yHwqRyQMi87tay,0T4owvuSXLLA7infyGZaHP
Deep Purple,Nino Tempo & April Stevens,5kJez8nvgq0HqhWy3UTQFx,5s1WKkWyMzhGnLZ0ClgyTN,5PDCUDIZ89GL5NSsnkETQO
I'm Leaving It Up To You,Dale & Grace,4To8mxhdtvoKpELxEHOGGU,4pm3g02BZ11lBvSCuomYaW,1QGxTeWmlyeydSRZgiulmr
Dominique,The Singing Nun (Soeur Sourire),4ns69146GVKS3AwM922kTE,6IXxyuP3QA8yla9rF1on6b,5q2EXEXCVPTs9YNK136lfY
There! I've Said It Again,Bobby Vinton,3mwiyHBHfAzOe89MwqJeEb,6bOYtKnpLPQSfMpS2ilotK,6H2obkE8t9qlR7hMjIdveT
I Want To Hold Your Hand,The Beatles,5Qe7NHxeLAn8KoLTNLSdwe,3WrFJ7ztbogyGnTHbHJFl2,6126O4XLYAfzU3961ziahP
She Loves You,The Beatles,0qsS2A3hwicJCLtcaR6JRQ,3WrFJ7ztbogyGnTHbHJFl2,6126O4XLYAfzU3961ziahP
Can't Buy Me Love,The Beatles,3SdingSsFcZDZAyvcJbgAw,3WrFJ7ztbogyGnTHbHJFl2,6wCttLq0ADzkPgtRnUihLV
Hello; Dolly!,Louis Armstrong And The All Stars,63kd4m3VFxcJjPVVtbVNAu,19eLuQmk9aCobbVDHc6eek,213k6pbTGOHxlMpz5lb7zC
My Guy,Mary Wells,4591VqUIXysNlmI5NcAIUd,1cjZk1xXn3YCToNg3uJpA7,6pUoPt9A6P1G8YJ5vw6GBP
Love Me Do,The Beatles,3VbGCXWRiouAq8VyMYN2MI,3WrFJ7ztbogyGnTHbHJFl2,3KzAvEXcqJKBF97HrXwlgf
Chapel Of Love,The Dixie Cups,7vVG9xbmNQrtdSPTi7KDUm,7ICvZfP4VHAPZ5Wdt03772,3r8dNiqNnFU7hNmQH5Reb8
A World Without Love,Peter And Gordon,7fO6hgP2MnAjVtSxResRw2,6lHC2EQMEMZiEmSfFloarn,2rdqvArKPGWKXU1Q7rxnPh
I Get Around,The Beach Boys,3v9xlH6BpmRbqL7hgNJhfT,3oDbviiivRWhXwIE8hxkVV,6GnzWMUyNEETCq6eftD98v
Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",6kAROIu6CLVjulTqSPYmAP,6mcrZQmgzFGRWf7C0SObou,0NUEQILaBzavnzcMEs4buZ
A Hard Day's Night,The Beatles,65vdMBskhx3akkG9vQlSH1,3WrFJ7ztbogyGnTHbHJFl2,6wCttLq0ADzkPgtRnUihLV
Everybody Loves Somebody,Dean Martin,5I9sHwLDX28tLtzVgKLtpr,49e4v89VmlDcFCMyDv9wQ9,5py1cVI9V82vgizOzh7z1q
Where Did Our Love Go,The Supremes,69RH84na5iUNwrwxpgjC5j,57bUPid8xztkieZfS7OlEV,05pI1Rx1HQ4KA0a0e3PJlV
House Of The Rising Sun,The Animals,7BY005dacJkbO6EPiOh2wb,3ICflSq6ZgYAIrm2CTkfVP,0Xwkx2TLFwRcoK0OWQ0Msa
Oh; Pretty Woman,Roy Orbison And The Candy Men,48i055G1OT5KxGGftwFxWy,0JDkhL4rjiPNEp92jAgJnS,2jTbcSPVTBRAoc3mHU6hy0
Do Wah Diddy Diddy,Manfred Mann,48ZjHLkaHpXIlGGYUlb3bZ,5670CyWrIOA7702gNjsGMZ,5w2NEsjgYbdeQWO7y035xT
Baby Love,The Supremes,5uES1C2NgkdrNHiCwf9jRr,57bUPid8xztkieZfS7OlEV,05pI1Rx1HQ4KA0a0e3PJlV
Leader Of The Pack,The Shangri-Las,6O5PIO5pAWxdoxvaUFQ02G,1WvziZcLLYLoMMdmQx7qcN,76fF3MnSilSrvfW1fAWHAZ
Ringo,Lorne Greene,5GHbWzjRy1XfnTf5rkA8bf,7CHyTolf8RTuUaW4yYV52d,5aucUihOucqNfx4dUXOLHS
Mr. Lonely,Bobby Vinton,5KG2ahk1cONbHvg3dBdTbx,6bOYtKnpLPQSfMpS2ilotK,4qK4QZUSp8QdoMEm9mrzyA
Come See About Me,The Supremes,307kcWJQNMdiYYKj1LgClU,57bUPid8xztkieZfS7OlEV,05pI1Rx1HQ4KA0a0e3PJlV
I Feel Fine,The Beatles,4gxs9En3aoaOm2J5wNMMm9,3WrFJ7ztbogyGnTHbHJFl2,6126O4XLYAfzU3961ziahP
Downtown,Petula Clark,6S55C80YzjhSrCRRd1p80b,6nKqt1nbSBEq3iUXD1Xgz8,3YQNnpZGnTAxgQ2CQ8C1l8
You've Lost That Lovin' Feelin',The Righteous Brothers,6AeyHqzNHJthYJbn0tvJ4b,4b0WsB47XCa9F83BmwQ7WX,28FEznublcKslK88ehRrfy
This Diamond Ring,Gary Lewis And The Playboys,44zDLad2CZrhWg2lg9nfuy,0XTxadWXVyfB8eTIYOjMYj,7LNk2oRaXtsooF0ryHIDyS
My Girl,The Temptations,745H5CctFr12Mo7cqa1BMH,3RwQ26hR2tJtA8F9p2n7jG,45tweuKI0zdh8zgKo05cTw
Eight Days A Week,The Beatles,1Dg4dFJr3HW7sbA7vPejre,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a
Stop! In The Name Of Love,The Supremes,52FlwUMMDnTK8TGkCag9Jd,57bUPid8xztkieZfS7OlEV,2maj3yWtoFnr0g7TlNao7A
I'm Telling You Now,Freddie And The Dreamers,3qC08srhXBJ6DEQ7CwPMB0,1wCc2Wgga1H8C7u57pcqYk,5dQ7O0rv9GGjwajySXL6eu
Game Of Love,Wayne Fontana & The Mindbenders,0jUfBCWrfrZGueD8MjvgMo,2VkASgJ3IjpMHG5aYXx4t2,6SuomVwU0WAHkBi1Y3dS68
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,1GJCJpKYfzRUsYnSRy4Mfz,48YxSlb23RAaCd4RyHcV9V,6TbZXMXvUGFqx3opETEAuW
Ticket To Ride,The Beatles,7CZiDzGVjUssMSOXrDNYHL,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX
Help Me; Rhonda,The Beach Boys,3haZcHm3HydDVxm3je3Zmg,3oDbviiivRWhXwIE8hxkVV,13f845bYjx8MUVF2bl1uJ0
Back In My Arms Again,The Supremes,2WjW8DjQru6Ic4KvYDqLys,57bUPid8xztkieZfS7OlEV,2maj3yWtoFnr0g7TlNao7A
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,6b6IMqP565TbtFFZg9iFf3,7fIvjotigTGWqjIz6EP1i4,2jvkMPydCpLWwRothqJU1O
Mr. Tambourine Man,The Byrds,2HCaIYjkvWSZzaSKUoOh3d,1PCZpxHJz7WAMF8EEq8bfc,0pkrqPjeq9K5KD0hFqAKNa
(I Can't Get No) Satisfaction,The Rolling Stones,2PzU4IB8Dr6mxV3lHuaG34,22bE4uQ6baNwSHPVcDxLCe,2Q5MwpTmtjscaS34mJFXQQ
I'm Henry VIII; I Am,Herman's Hermits,39Jr3Nu48BQzLSmlPGSniP,5mkLPtdWdmR5joFjpUYyXC,2JaMXyJbHhoTABW04IvWcN
I Got You Babe,Sonny & Cher,4SGBuq37Ol4HJr7pQqFMKa,71lGEtP9qYXDsSXjfexTqO,4VFnAIRrYMA3iEHpjNP5cH
Help!,The Beatles,7DD7eSuYSC5xk2ArU62esN,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX
Eve Of Destruction,Barry McGuire,1Zi2ezNOqt9y9irC11xYpN,6xdkfNRMtBzeu7t4wyum2X,1ue4XKSgfovqJp8wgoyaOX
Hang On Sloopy,The McCoys,0i7O5MtSTXvR4BEY7stpjF,6etIM3JbzGPxTdfNWWfsVH,17dRh7ma3OpZSdmWc5LT1H
Yesterday,The Beatles,3BQHpFgAp4l80e1XslIjNI,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX
Get Off Of My Cloud,The Rolling Stones,263Iuyk08ks1v6FIudUIGD,22bE4uQ6baNwSHPVcDxLCe,2p2xSwHP4rTPzNCaOveDIP
I Hear A Symphony,The Supremes,5SCB7L1alKg7ZEeSw7Sq9f,57bUPid8xztkieZfS7OlEV,7vNmiLEdMqJYUlPxSx2zgg
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,5qBqBdfTEIWJwAS0Jm2F5R,1PCZpxHJz7WAMF8EEq8bfc,3v0i9qyogPoQEQj2bG6Fmn
Over And Over,The Dave Clark Five,0SKS8mR9wgXcr670BzR9fg,2HBbky0Z08ZcCKVsXWbNE4,1tSojlNAk4FxZCiuMUxoru
The Sound Of Silence,Simon & Garfunkel,5y788ya4NvwhBznoDIcXwK,70cRZdQywnSFp9pnc2WTCE,5pnJrocLlZ3FWEbcr2PTz0
We Can Work It Out,The Beatles,1hTUFqJuQAMjXVGwUPWDqi,3WrFJ7ztbogyGnTHbHJFl2,7vEJAtP3KgKSpOHVgwm3Eh
My Love,Petula Clark,1VkjC0VqC21vNPnkzBUWtt,6nKqt1nbSBEq3iUXD1Xgz8,3YQNnpZGnTAxgQ2CQ8C1l8
